roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason,k_ref_free_coef,k_ref_free_coef_ci_low,k_ref_free_coef_ci_high,k_ref_coef_fast,k_ref_coef_fast_ci_low,k_ref_coef_fast_ci_high,k_ref_tau_fast,k_ref_tau_fast_ci_low,k_ref_tau_fast_ci_high,k_ref_coef_slow,k_ref_coef_slow_ci_low,k_ref_coef_slow_ci_high,k_ref_tau_slow,k_ref_tau_slow_ci_low,k_ref_tau_slow_ci_high,k_ref_gof,k_ref_percent_fast,k_ref_fit_available,k_ref_fit_any_value_present,k_ref_fitted_peak_component,k_ref_fit_amplitude_relative_difference
ROI_025,Z,6.11286523018716,12.779772995605725,204.0,204.5234328112893,1,False,True,0.1982690794649882,False,False,,0.13585984162648704,-148.86413818634225,149.1358578695952,5.956816244576414,5.678991306985147,6.234641182167681,9.1533570853148,8.369153408022438,9.937560762607163,0.7214952234206129,-148.00843778698615,149.4514282338274,1283.1822748467919,-280901.2698769181,283467.63442661165,0.9850137317148581,0.8919644244090632,True,True,6.678311467997027,0.09250101491155467
ROI_026,AA,5.609595735145511,17.25228910516344,204.0,124.31437500120246,1,False,True,0.12352478363493312,False,False,,0.031119160078703578,-2.3902369798913763,2.4524753000487833,6.073734139869799,5.031511232153724,7.115957047585875,16.295971628263104,13.857627950251091,18.734315306275114,0.0016897269965123261,-1.41991095282559,1.4232904068186147,130.61479853207496,-388748.60775688937,389009.83735395357,0.9925608390442505,0.9997218750438586,True,True,6.075423866866312,0.08304130167567542
ROI_027,AB,5.521313385332619,13.321090215372578,204.0,126.94951228657713,1,False,True,0.07081038552321008,False,False,,4.004998381647643e-10,,,5.026934551416999,4.881022429315896,5.172846673518102,11.037672566939529,10.448862283812511,11.626482850066546,0.7278987338031969,0.5756861331996891,0.8801113344067047,100.00000007946589,70.58652644040556,129.4134737185262,0.9944994361493718,0.8735152353287772,True,True,5.7548332852201955,0.04229426652504862
ROI_028,AC,5.056473606255312,13.214485236395603,204.0,97.44406329584703,1,False,True,0.03461841070023604,False,False,,0.09370176788430906,-0.3147675917529699,0.5021711275215881,5.081075698578302,4.888919789265969,5.273231607890636,12.892814780749562,12.372881657977082,13.412747903522042,0.018243384621877134,-0.21147519156350275,0.24796196080725702,112.19168158528673,-5332.808302918224,5557.191666088797,0.9989616390318404,0.9964223881023683,True,True,5.09931908320018,0.008473390801815656
ROI_029,AD,4.530204890892315,23.8676579867913,203.0,159.77121478285196,1,False,True,0.010228166797797011,False,False,,5.733649077682506e-06,-0.28036279023938365,0.28037425753753903,4.739328962013726,3.999311994478981,5.479345929548471,30.55927883297132,26.511269888123103,34.607287777819536,5.8715781864448296e-08,-1.0322126083320236,1.0322127257635871,100.00000778217864,-271857222.60558933,271857422.60560495,0.9944831004200579,0.9999999876109505,True,True,4.739329020729508,0.04616217916713287
ROI_030,AE,5.1724644873405365,14.687914209683044,203.0,134.27653679059975,1,False,True,0.17466561762391816,False,False,,5.209931451760039e-10,,,4.49573664075574,4.386947441060877,4.604525840450603,15.838554527669018,14.988620367649016,16.68848868768902,0.755177273135437,0.6686986888854963,0.8416558573853777,100.00000000003472,,,0.9891939053984068,0.8561817455933467,True,True,5.250913913891177,0.01516674048563174
ROI_031,AF,4.977223944291301,10.68074395589025,204.0,79.4260382298241,1,False,True,0.022029897718332022,False,False,,4.362117799447656e-06,-0.21245650792724854,0.21246523216284743,4.75899376486646,4.657285271268988,4.860702258463933,10.11349371458312,9.827590404747466,10.399397024418773,0.22692461143395629,0.10485587714469616,0.3489933457232164,100.0084769061497,-107.05115812356101,307.06811193586043,0.9991577556337128,0.9544868980381632,True,True,4.9859183763004165,0.0017468436434506826
ROI_032,AG,6.303577622974827,20.28050930834985,204.0,172.23016804054376,1,False,True,0.03147128245476003,False,False,,0.016074851230072438,-1.3938472337121985,1.4259969361723432,6.952444693980652,5.172712638788863,8.73217674917244,20.381309018114653,16.937665568287755,23.82495246794155,3.1034169300036567e-06,-0.7859354550223894,0.7859416618562494,100.360311899333,-130230836.35976689,130231037.08039068,0.9930978256698458,0.9999995536224047,True,True,6.952447797397582,0.10293681036905131
ROI_033,AH,3.6029238370860757,12.123572341801378,204.0,69.39427064290352,1,False,True,0.004720692368214005,False,False,,0.1071890561912878,-0.4022054439783521,0.6165835563609278,3.781027393069694,3.5961631947386317,3.9658915914007564,10.567779973699581,9.888157400281447,11.247402547117716,0.0021976254618436006,-0.33445787681618716,0.33885312773987436,114.08980812334055,-53658.182119613855,53886.36173586053,0.9955320430239952,0.9994191132033969,True,True,3.7832250185315375,0.050043017726204106
ROI_034,AI,4.312738103769984,11.161538036804103,204.0,72.61255668076133,1,False,True,0.15342250196695514,False,False,,0.00014084361301380484,-2.08379728785161,2.084078975077637,4.439992695002117,4.312111089260238,4.567874300743997,9.760103935535655,9.305363710465413,10.214844160605898,0.15321683230047306,-1.8046372852294656,2.111070949830412,242.26318395582223,-4355.377180891646,4839.903548803291,0.9965661631839975,0.9666427513507202,True,True,4.593209527302591,0.06503326118676957
